State,Female_Pop_Lakhs,Total_Crimes,Crime_Rate
ANDHRA PRADESH,255.6,15931,62.3
ARUNACHAL PRADESH,6.2,384,62.1
ASSAM,157.0,23258,148.2
BIHAR,498.4,13891,27.9
CHHATTISGARH,127.8,5720,44.8
GOA,9.2,365,39.9
GUJARAT,294.7,7762,26.3
HARYANA,124.7,9446,75.7
HIMACHAL PRADESH,34.4,1289,37.4
JAMMU & KASHMIR,59.0,3363,57.0
JHARKHAND,162.0,6518,40.2
KARNATAKA,305.7,12705,41.6
KERALA,181.7,9708,53.4
MADHYA PRADESH,368.6,24135,65.5
MAHARASHTRA,568.0,31126,54.8
MANIPUR,12.8,266,20.8
MEGHALAYA,13.6,334,24.5
MIZORAM,5.1,158,30.9
NAGALAND,11.2,90,8.0
ODISHA,209.2,17144,81.9
PUNJAB,133.2,5291,39.7
RAJASTHAN,345.6,28165,81.5
SIKKIM,3.0,53,17.6
TAMIL NADU,344.8,5847,17.0
TELANGANA,182.1,15135,83.1
TRIPURA,18.6,1267,68.2
UTTAR PRADESH,1021.2,35527,34.8
UTTARAKHAND,51.6,1453,28.2
WEST BENGAL,452.5,33218,73.4
A & N ISLANDS,2.7,136,51.1
CHANDIGARH,7.1,463,64.8
D&N HAVELI,1.9,25,12.9
DAMAN & DIU,1.1,28,26.4
DELHI UT,92.8,17104,184.3
LAKSHADWEEP,0.4,9,22.0
PUDUCHERRY,7.4,80,10.9
