State,Crime_Head,Year,Persons_Arrested
ANDHRA PRADESH,RAPE,2001,1150
ARUNACHAL PRADESH,RAPE,2001,51
ASSAM,RAPE,2001,928
BIHAR,RAPE,2001,1400
CHHATTISGARH,RAPE,2001,1134
GOA,RAPE,2001,14
GUJARAT,RAPE,2001,401
HARYANA,RAPE,2001,539
HIMACHAL PRADESH,RAPE,2001,152
JAMMU & KASHMIR,RAPE,2001,222
JHARKHAND,RAPE,2001,637
KARNATAKA,RAPE,2001,361
KERALA,RAPE,2001,712
MADHYA PRADESH,RAPE,2001,3212
MAHARASHTRA,RAPE,2001,1886
MANIPUR,RAPE,2001,17
MEGHALAYA,RAPE,2001,29
MIZORAM,RAPE,2001,64
NAGALAND,RAPE,2001,28
ODISHA,RAPE,2001,887
PUNJAB,RAPE,2001,459
RAJASTHAN,RAPE,2001,1147
SIKKIM,RAPE,2001,6
TAMIL NADU,RAPE,2001,565
TRIPURA,RAPE,2001,139
UTTAR PRADESH,RAPE,2001,2685
UTTARAKHAND,RAPE,2001,82
WEST BENGAL,RAPE,2001,1027
A & N ISLANDS,RAPE,2001,3
CHANDIGARH,RAPE,2001,32
D & N HAVELI,RAPE,2001,10
DAMAN & DIU,RAPE,2001,0
DELHI,RAPE,2001,454
LAKSHADWEEP,RAPE,2001,0
PUDUCHERRY,RAPE,2001,13
ANDHRA PRADESH,KIDNAPPING AND ABDUCTION,2001,965
ARUNACHAL PRADESH,KIDNAPPING AND ABDUCTION,2001,60
ASSAM,KIDNAPPING AND ABDUCTION,2001,1583
BIHAR,KIDNAPPING AND ABDUCTION,2001,988
CHHATTISGARH,KIDNAPPING AND ABDUCTION,2001,223
GOA,KIDNAPPING AND ABDUCTION,2001,8
GUJARAT,KIDNAPPING AND ABDUCTION,2001,1063
HARYANA,KIDNAPPING AND ABDUCTION,2001,298
HIMACHAL PRADESH,KIDNAPPING AND ABDUCTION,2001,74
JAMMU & KASHMIR,KIDNAPPING AND ABDUCTION,2001,633
JHARKHAND,KIDNAPPING AND ABDUCTION,2001,318
KARNATAKA,KIDNAPPING AND ABDUCTION,2001,306
KERALA,KIDNAPPING AND ABDUCTION,2001,114
MADHYA PRADESH,KIDNAPPING AND ABDUCTION,2001,917
MAHARASHTRA,KIDNAPPING AND ABDUCTION,2001,1022
MANIPUR,KIDNAPPING AND ABDUCTION,2001,58
MEGHALAYA,KIDNAPPING AND ABDUCTION,2001,9
MIZORAM,KIDNAPPING AND ABDUCTION,2001,5
NAGALAND,KIDNAPPING AND ABDUCTION,2001,9
ODISHA,KIDNAPPING AND ABDUCTION,2001,555
PUNJAB,KIDNAPPING AND ABDUCTION,2001,369
RAJASTHAN,KIDNAPPING AND ABDUCTION,2001,1261
SIKKIM,KIDNAPPING AND ABDUCTION,2001,0
TAMIL NADU,KIDNAPPING AND ABDUCTION,2001,808
TRIPURA,KIDNAPPING AND ABDUCTION,2001,43
UTTAR PRADESH,KIDNAPPING AND ABDUCTION,2001,4295
UTTARAKHAND,KIDNAPPING AND ABDUCTION,2001,153
WEST BENGAL,KIDNAPPING AND ABDUCTION,2001,1331
A & N ISLANDS,KIDNAPPING AND ABDUCTION,2001,4
CHANDIGARH,KIDNAPPING AND ABDUCTION,2001,43
D & N HAVELI,KIDNAPPING AND ABDUCTION,2001,3
DAMAN & DIU,KIDNAPPING AND ABDUCTION,2001,2
