State,District,Year,Total_Crimes
ANDHRA PRADESH,ADILABAD,2001,454
ANDHRA PRADESH,ANANTAPUR,2001,356
ANDHRA PRADESH,CHITTOOR,2001,456
ANDHRA PRADESH,CUDDAPAH,2001,278
ANDHRA PRADESH,EAST GODAVARI,2001,475
ANDHRA PRADESH,GUNTAKAL RLY.,2001,1
ANDHRA PRADESH,GUNTUR,2001,758
ANDHRA PRADESH,HYDERABAD CITY,2001,991
ANDHRA PRADESH,KARIMNAGAR,2001,886
ANDHRA PRADESH,KHAMMAM,2001,782
ANDHRA PRADESH,KRISHNA,2001,613
ANDHRA PRADESH,KURNOOL,2001,429
ANDHRA PRADESH,MAHABOOBNAGAR,2001,386
ANDHRA PRADESH,MEDAK,2001,398
ANDHRA PRADESH,NALGONDA,2001,546
ANDHRA PRADESH,NELLORE,2001,858
ANDHRA PRADESH,NIZAMABAD,2001,359
ANDHRA PRADESH,PRAKASHAM,2001,395
ANDHRA PRADESH,RANGA REDDY,2001,788
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,2
ANDHRA PRADESH,SRIKAKULAM,2001,219
ANDHRA PRADESH,VIJAYAWADA,2001,801
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,3
ANDHRA PRADESH,VISAKHA RURAL,2001,241
ANDHRA PRADESH,VISAKHAPATNAM,2001,718
ANDHRA PRADESH,VIZIANAGARAM,2001,193
ANDHRA PRADESH,WARANGAL,2001,536
ANDHRA PRADESH,WEST GODAVARI,2001,747
ARUNACHAL PRADESH,CHANGLANG,2001,6
ARUNACHAL PRADESH,DIBANG VALLEY,2001,12
ARUNACHAL PRADESH,KAMENG EAST,2001,12
ARUNACHAL PRADESH,KAMENG WEST,2001,2
ARUNACHAL PRADESH,LOHIT,2001,16
ARUNACHAL PRADESH,PAPUM PARE,2001,23
ARUNACHAL PRADESH,SIANG EAST,2001,21
ARUNACHAL PRADESH,SIANG UPPER,2001,10
ARUNACHAL PRADESH,SIANG WEST,2001,43
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,11
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,13
ARUNACHAL PRADESH,TAWANG,2001,7
ARUNACHAL PRADESH,TIRAP,2001,4
ASSAM,BARPETA,2001,250
ASSAM,BONGAIGAON,2001,90
ASSAM,C.I.D.,2001,0
ASSAM,CACHAR,2001,422
ASSAM,DARRANG,2001,197
ASSAM,DHEMAJI,2001,88
ASSAM,DHUBRI,2001,259
ASSAM,DIBRUGARH,2001,135
ASSAM,G.R.P.,2001,1
ASSAM,GOALPARA,2001,189
ASSAM,GOLAGHAT,2001,119
ASSAM,GUWAHATI CITY,2001,271
ASSAM,HAILAKANDI,2001,115
ASSAM,JORHAT,2001,164
ASSAM,KAMRUP,2001,157
ASSAM,KARBI ANGLONG,2001,37
ASSAM,KARIMGANJ,2001,81
ASSAM,KOKRAJHAR,2001,83
ASSAM,LAKHIMPUR,2001,241
ASSAM,MORIGAON,2001,94
ASSAM,N.C.HILLS,2001,15
ASSAM,NAGAON,2001,410
ASSAM,NALBARI,2001,91
ASSAM,R.P.O.,2001,3
ASSAM,SIBSAGAR,2001,139
ASSAM,SONITPUR,2001,276
ASSAM,TINSUKIA,2001,121
BIHAR,ARARIA,2001,170
BIHAR,ARWAL,2001,32
BIHAR,AURANGABAD,2001,87
BIHAR,BAGAHA,2001,37
BIHAR,BANKA,2001,69
BIHAR,BEGUSARAI,2001,94
BIHAR,BETTIAH,2001,145
BIHAR,BHABHUA,2001,59
BIHAR,BHAGALPUR,2001,131
BIHAR,BHOJPUR,2001,91
BIHAR,BUXAR,2001,24
BIHAR,DARBHANGA,2001,146
BIHAR,GAYA,2001,117
BIHAR,GOPALGANJ,2001,210
BIHAR,JAMALPUR RLY.,2001,3
BIHAR,JAMUI,2001,50
BIHAR,JEHANABAD,2001,40
BIHAR,KATIHAR,2001,112
BIHAR,KATIHAR RLY.,2001,3
BIHAR,KHAGARIA,2001,30
BIHAR,KISHANGANJ,2001,84
BIHAR,LAKHISARAI,2001,40
BIHAR,MADHEPURA,2001,45
BIHAR,MADHUBANI,2001,95
BIHAR,MOTIHARI,2001,167
BIHAR,MUNGER,2001,73
BIHAR,MUZAFFARPUR,2001,395
BIHAR,MUZAFFARPUR RLY.,2001,8
BIHAR,NALANDA,2001,169
BIHAR,NAUGACHIA,2001,25
BIHAR,NAWADAH,2001,54
BIHAR,PATNA,2001,366
BIHAR,PATNA RLY.,2001,11
BIHAR,PURNEA,2001,97
BIHAR,ROHTAS,2001,159
BIHAR,SAHARSA,2001,50
BIHAR,SAMASTIPUR,2001,149
BIHAR,SARAN,2001,225
BIHAR,SHEIKHPURA,2001,45
BIHAR,SHEOHAR,2001,23
BIHAR,SITAMARHI,2001,78
BIHAR,SIWAN,2001,78
BIHAR,SUPAUL,2001,65
BIHAR,VAISHALI,2001,338
CHHATTISGARH,BALRAMPUR,2001,44
CHHATTISGARH,BILASPUR,2001,380
CHHATTISGARH,BIZAPUR,2001,5
CHHATTISGARH,DANTEWARA,2001,50
CHHATTISGARH,DHAMTARI,2001,79
CHHATTISGARH,DURG,2001,754
CHHATTISGARH,GRP RAIPUR,2001,5
CHHATTISGARH,JAGDALPUR,2001,131
CHHATTISGARH,JANJGIR,2001,283
CHHATTISGARH,JASHPUR,2001,86
CHHATTISGARH,KANKER,2001,96
CHHATTISGARH,KAWARDHA,2001,100
CHHATTISGARH,KORBA,2001,188
CHHATTISGARH,KORIYA,2001,179
CHHATTISGARH,MAHASAMUND,2001,152
CHHATTISGARH,RAIGARH,2001,192
CHHATTISGARH,RAIPUR,2001,564
CHHATTISGARH,RAJNANDGAON,2001,219
CHHATTISGARH,SARGUJA,2001,457
GOA,NORTH GOA,2001,27
GOA,SOUTH GOA,2001,28
GUJARAT,AHMEDABAD COMMR.,2001,774
GUJARAT,AHMEDABAD RURAL,2001,142
GUJARAT,AHWA-DANG,2001,6
GUJARAT,AMRELI,2001,153
GUJARAT,ANAND,2001,271
GUJARAT,BHARUCH,2001,113
GUJARAT,BHAVNAGAR,2001,234
GUJARAT,DAHOD,2001,48
GUJARAT,GANDHINAGAR,2001,179
GUJARAT,HIMATNAGAR,2001,266
GUJARAT,JAMNAGAR,2001,227
GUJARAT,JUNAGADH,2001,500
GUJARAT,KHEDA NORTH,2001,206
GUJARAT,KUTCH,2001,228
GUJARAT,MEHSANA,2001,294
GUJARAT,NARMADA,2001,33
GUJARAT,NAVSARI,2001,30
GUJARAT,PALANPUR,2001,259
GUJARAT,PANCHMAHAL,2001,118
GUJARAT,PATAN,2001,125
GUJARAT,PORBANDAR,2001,85
GUJARAT,RAJKOT COMMR.,2001,276
GUJARAT,RAJKOT RURAL,2001,311
GUJARAT,SURAT COMMR.,2001,211
GUJARAT,SURAT RURAL,2001,87
GUJARAT,SURENDRANAGAR,2001,160
GUJARAT,VADODARA COMMR.,2001,146
GUJARAT,VADODARA RURAL,2001,167
GUJARAT,VALSAD,2001,80
GUJARAT,W.RLY,2001,15
HARYANA,AMBALA,2001,213
HARYANA,BHIWANI,2001,110
HARYANA,FARIDABAD,2001,506
HARYANA,FATEHABAD,2001,157
HARYANA,GRP,2001,34
HARYANA,GURGAON,2001,259
HARYANA,HISSAR,2001,202
HARYANA,JHAJJAR,2001,226
HARYANA,JIND,2001,158
HARYANA,KAITHAL,2001,157
HARYANA,KARNAL,2001,199
HARYANA,KURUKSHETRA,2001,159
HARYANA,MAHENDRAGARH,2001,69
HARYANA,PANCHKULA,2001,101
HARYANA,PANIPAT,2001,178
HARYANA,REWARI,2001,65
HARYANA,ROHTAK,2001,138
HARYANA,SIRSA,2001,157
HARYANA,SONIPAT,2001,132
HARYANA,YAMUNANAGAR,2001,152
HIMACHAL PRADESH,BILASPUR,2001,98
HIMACHAL PRADESH,CHAMBA,2001,72
