Sl. No.,State/UT,District,Murder with Rape/Gang Rape - Col. ( 3),Dowry Deaths (Sec. 304B IPC) - Col. ( 4),Abetment to Suicide of Women (Sec. 305/306 IPC) - Col. ( 5),Miscarriage (Sec. 313 & 314 IPC) - Col. ( 6),Acid Attack (Sec. 326A IPC) - Col. ( 7),Attempt to Acid Attack (Sec. 326B IPC) - Col. ( 8),Cruelty by Husband or his relatives (Sec. 498 A IPC) - Col. ( 9),"Kidnapping & Abduction of Women - Kidnapping & Abduction of Women (Total) (Col.11 to Col.14,Col.17 to Col.19) Col.25=Col. 28+Col.31+Col.34+Col.37+Col.40+Col.43+Col.52) - Col. ( 10)",Kidnapping & Abduction of Women - Kidnapping & Abduction (Sec. 336 IPC) - Col. ( 11),Kidnapping & Abduction of Women - Kidnapping & Abduction in order to Murder (Sec. 364 IPC) - Col. ( 12),Kidnapping & Abduction of Women - Kidnapping for Ransom (Sec. 364A IPC) - Col. ( 13),Kidnapping & Abduction of Women - Kidnapping & Abduction of Women to compel her for marriage (Sec. 366 IPC) - K&A of Women to compel her for marriage (Total) (Col.15+Col.16) - Col. ( 14),Kidnapping & Abduction of Women - Kidnapping & Abduction of Women to compel her for marriage (Sec. 366 IPC) - Women (Above 18 yrs) - Col. ( 15),Kidnapping & Abduction of Women - Kidnapping & Abduction of Women to compel her for marriage (Sec. 366 IPC) - Girls (Below 18 yrs) - Col. ( 16),Kidnapping & Abduction of Women - Procuration of Minor Girls (Sec. 366A IPC) - Col. ( 17),Kidnapping & Abduction of Women - Importation of Girls from Foreign Country (Sec. 366B IPC) - Col. ( 18),"Kidnapping & Abduction of Women - Kidnapping and Abduction of Women - Others (Secs.363A, 365, 367, 368, 369 IPC) - Col. ( 19)",Human Trafficking (Sec. 370 & 370A IPC) - Col. ( 20,Selling of Minor Girls (Sec. 372 IPC) - Col. ( 21),Buying of Minor Girls (Sec. 373 IPC) - Col. ( 22),Rape (Sec. 376 IPC) - Rape (Col.24+Col.25) - Col. ( 23),Rape (Sec. 376 IPC) - Women (18 Yrs. And above) - Col. ( 24),Rape (Sec. 376 IPC) - Girls (Below 18 yrs) - Col. ( 25),Attempt to Commit Rape (Sec. 376/511 IPC) - Attempt to Commit Rape (Col.27+Col.28) - Col. ( 26),Attempt to Commit Rape (Sec. 376/511 IPC) - Women (18 Yrs. And above) - Col. ( 27),Attempt to Commit Rape (Sec. 376/511 IPC) - Girls (Below 18 yrs) - Col. ( 28),Assault on Women with Intent to Outrage her Modesty (Sec. 354 IPC) - Assault on Women with Intent to Outrage her Modesty (Col.30+Col.31) - Col. ( 29),Assault on Women with Intent to Outrage her Modesty (Sec. 354 IPC) - Women (18 Yrs. And above) - Col. ( 30),Assault on Women with Intent to Outrage her Modesty (Sec. 354 IPC) - Girls (Below 18 yrs) - Col. ( 31),Insult to the Modesty of Women (Sec. 509 IPC) - Insult to the Modesty of Women (Col.33+Col.34) - Col. ( 32),Insult to the Modesty of Women (Sec. 509 IPC) - Women (18 Yrs. And above) - Col. ( 33),Insult to the Modesty of Women (Sec. 509 IPC) - Girls (Below 18 yrs) - Col. ( 34),"Dowry Prohibition Act, 1961 - Col. ( 35)","Immoral Traffic (Prevention) Act 1956 (Women Victims cases only) - Immoral Traffic (Prevention) Act, 1956 (Total) (Col. 37 to Col.41) - Col. ( 36)","Immoral Traffic (Prevention) Act 1956 (Women Victims cases only) - Procuring, inducing Children for the sake of prostitution (Section 5) - Col. ( 37)",Immoral Traffic (Prevention) Act 1956 (Women Victims cases only) - Detaining a person in premises where prostitution is carried on (Section 6) - Col. ( 38),Immoral Traffic (Prevention) Act 1956 (Women Victims cases only) - Prostitution in or in the vicinity of public places (Section 7) - Col. ( 39),Immoral Traffic (Prevention) Act 1956 (Women Victims cases only) - Seducing or soliciting for purpose of prostitution (Section 8) - Col. ( 40),Immoral Traffic (Prevention) Act 1956 (Women Victims cases only) - Other Sections under ITP Act - Col. ( 41),Protection of Women from Domestic Violence Act - Col. ( 42),Cyber Crimes/Information Technology Act (Women Centric Crimes only) - Cyber Crimes/Information Technology Act (Women Centric Crimes only) (Col.44+Col.45) - Col. ( 43),Cyber Crimes/Information Technology Act (Women Centric Crimes only) - Publishing or Transmitting of Sexually Explicit Material (Sec. 67A/67B (Girls) IT Act) - Col. ( 44),Cyber Crimes/Information Technology Act (Women Centric Crimes only) - Other Women Centric Cyber Crimes (Ex. Blackmailing/ Defamation/Morphing/ Fake Profile) - Col. ( 45),Protection of Children from Sexual Violence Act (Girl Child Victims only) - Protection of Children from Sexual Violence Act (Girl Child Victims only) (Total) (Col.47 to Col.52) - Col. ( 46),Protection of Children from Sexual Violence Act (Girl Child Victims only) - Child Rape (Sec. 4 & 6 of POCSO Act) / Sec. 376 IPC) - Col. ( 47),Protection of Children from Sexual Violence Act (Girl Child Victims only) - Sexual Assault of Children (Sec. 8 & 10 of POCSO Act) / Sec. 354 IPC) - Col. ( 48),Protection of Children from Sexual Violence Act (Girl Child Victims only) - Sexual Harassment (Sec. 12 of POCSO Act) / Sec. 509 IPC) - Col. ( 49),Protection of Children from Sexual Violence Act (Girl Child Victims only) - Use of Child for Pornography/Storing Child Pornography Material (Sec. 14 & 15 of POCSO Act) - Col. ( 50),Protection of Children from Sexual Violence Act (Girl Child Victims only) - POCSO Act (Sections 17 to 22) / Other offences of POCSO Act - Col. ( 51),Protection of Children from Sexual Violence Act (Girl Child Victims only) - POCSO Act r/w Section 377 IPC / Unnatural Offences - Col. ( 52),"Indecent Representation of Women (Prohibition) Act, 1986 - Col. ( 53)",Total Crime against Women (IPC+SLL) - Col. ( 54)
1,Andhra Pradesh,Alluri Sitharama Raju,1,2,2,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,0,0,0,20,20,0,7,7,0,0,0,0,0,0,0,0,0,1,1,0,13,13,0,0,0,0,0,0,138
2,Andhra Pradesh,Anakapalli,0,5,4,0,0,0,276,25,24,0,1,0,0,0,0,0,0,1,0,0,37,37,0,7,6,1,244,244,0,51,51,0,0,1,1,0,0,0,0,0,0,0,0,58,32,26,0,0,0,0,0,709
3,Andhra Pradesh,Anantapuramu,0,2,19,0,0,0,343,21,0,0,0,7,3,4,14,0,0,2,0,0,12,12,0,12,12,0,174,174,0,50,50,0,0,1,1,0,0,0,0,0,8,7,1,65,34,4,27,0,0,0,0,709
4,Andhra Pradesh,Annamayya,0,2,6,0,0,0,362,2,0,0,0,1,1,0,1,0,0,0,0,0,11,11,0,4,1,3,126,126,0,47,47,0,13,0,0,0,0,0,0,0,1,1,0,37,27,5,5,0,0,0,0,611
5,Andhra Pradesh,Bapatla,0,3,9,0,0,0,447,6,3,0,0,2,0,2,1,0,0,0,0,0,22,22,0,2,1,1,187,187,0,129,129,0,1,2,2,0,0,0,0,0,0,0,0,56,32,14,8,2,0,0,0,864
6,Andhra Pradesh,Chittoor,0,2,17,0,0,0,357,7,4,0,2,1,1,0,0,0,0,0,0,0,12,12,0,4,3,1,196,196,0,74,74,0,0,0,0,0,0,0,0,0,5,5,0,49,27,19,3,0,0,0,0,723
7,Andhra Pradesh,Dr BR Ambedkar Konaseema,0,3,4,1,0,1,386,22,20,0,0,2,1,1,0,0,0,0,0,0,23,23,0,7,4,3,318,318,0,58,58,0,0,0,0,0,0,0,0,0,1,1,0,85,38,35,12,0,0,0,0,909
8,Andhra Pradesh,East Godavari,1,0,12,1,0,1,672,22,8,0,0,13,1,12,0,0,1,0,0,0,27,27,0,0,0,0,216,216,0,151,151,0,0,0,0,0,0,0,0,0,8,6,2,118,62,54,1,1,0,0,0,1229
9,Andhra Pradesh,Eluru,0,8,16,0,0,0,653,45,36,0,0,2,2,0,1,0,6,3,0,0,28,28,0,14,14,0,409,409,0,152,152,0,0,0,0,0,0,0,0,0,12,11,1,161,53,15,92,0,1,0,0,1501
10,Andhra Pradesh,Guntakal Railway,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6
11,Andhra Pradesh,Guntur,0,6,31,0,0,0,1054,29,23,0,0,4,3,1,1,0,1,18,0,0,29,29,0,8,7,1,398,398,0,510,510,0,0,27,0,0,0,0,27,0,12,8,4,139,63,72,4,0,0,0,0,2261
12,Andhra Pradesh,Kakinada,0,3,8,0,0,0,416,29,13,0,0,16,0,16,0,0,0,0,0,0,16,16,0,5,3,2,213,213,0,100,100,0,0,0,0,0,0,0,0,0,10,10,0,48,28,19,1,0,0,0,0,848
13,Andhra Pradesh,Krishna,0,12,16,0,0,0,766,105,89,0,0,10,1,9,6,0,0,2,0,0,28,28,0,13,13,0,321,321,0,239,239,0,0,0,0,0,0,0,0,0,14,12,2,106,47,58,1,0,0,0,0,1622
14,Andhra Pradesh,Kurnool,0,4,12,0,0,0,347,42,18,0,0,22,12,10,0,0,2,0,0,0,9,9,0,8,8,0,177,177,0,186,186,0,0,3,3,0,0,0,0,0,3,3,0,23,20,1,2,0,0,0,0,814
15,Andhra Pradesh,Nandyal,0,2,27,0,1,0,151,24,11,0,0,13,6,7,0,0,0,0,0,0,8,8,0,5,5,0,137,137,0,226,226,0,282,1,0,0,0,0,1,0,0,0,0,63,27,11,25,0,0,0,0,927
16,Andhra Pradesh,NTR,0,3,17,0,0,0,1204,60,41,0,0,0,0,0,18,0,1,0,0,0,51,51,0,8,5,3,408,408,0,167,167,0,0,32,27,0,2,0,3,0,4,4,0,412,152,62,198,0,0,0,0,2366
17,Andhra Pradesh,Palnadu,2,3,17,2,1,0,398,35,27,0,0,3,0,3,4,0,1,0,0,0,9,9,0,9,6,3,177,177,0,157,157,0,1,2,0,0,0,0,2,0,2,1,1,53,22,27,4,0,0,0,0,868
18,Andhra Pradesh,Parvathipuram Manyam,0,2,4,0,0,0,98,23,0,0,0,23,0,23,0,0,0,0,0,0,21,21,0,0,0,0,70,70,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,22,16,6,0,0,0,0,0,277
19,Andhra Pradesh,Prakasam,0,0,17,0,0,0,539,7,2,0,0,4,4,0,0,0,1,3,0,0,24,24,0,11,11,0,261,261,0,204,204,0,0,3,3,0,0,0,0,0,8,7,1,68,34,13,20,0,1,0,0,1145
20,Andhra Pradesh,Sri Potti Sriramulu Nellore,1,2,22,0,0,0,582,5,0,0,0,3,2,1,2,0,0,0,0,0,17,17,0,17,14,3,283,283,0,175,175,0,0,0,0,0,0,0,0,0,0,0,0,82,44,30,7,0,0,1,0,1186
21,Andhra Pradesh,Sri Sathya Sai,2,7,18,0,0,0,260,4,0,0,0,2,2,0,2,0,0,1,0,0,7,7,0,13,13,0,225,225,0,36,36,0,0,0,0,0,0,0,0,0,4,4,0,41,27,14,0,0,0,0,0,618
22,Andhra Pradesh,Srikakulam,0,2,11,0,0,0,362,15,3,0,0,12,1,11,0,0,0,0,0,0,26,26,0,2,2,0,195,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,20,14,0,0,0,0,0,647
