Sl. No.,Category,State/UT,2019,2020,2021
1,States,Andhra Pradesh,17746,17089,17752
2,States,Arunachal Pradesh,317,281,366
3,States,Assam,30025,26352,29046
4,States,Bihar,18587,15359,17950
5,States,Chhattisgarh,7689,7385,7344
6,States,Goa,329,219,224
7,States,Gujarat,8799,8028,7348
8,States,Haryana,14683,13000,16658
9,States,Himachal Pradesh,1636,1614,1599
10,States,Jharkhand,8760,7630,8110
11,States,Karnataka,13828,12680,14468
12,States,Kerala,11462,10139,13539
13,States,Madhya Pradesh,27560,25640,30673
14,States,Maharashtra,37144,31954,39526
15,States,Manipur,266,247,302
16,States,Meghalaya,558,568,685
17,States,Mizoram,170,172,176
18,States,Nagaland,43,39,54
19,States,Odisha,23183,25489,31352
20,States,Punjab,5886,4838,5662
21,States,Rajasthan,41550,34535,40738
22,States,Sikkim,125,140,130
23,States,Tamil Nadu,5934,6630,8501
24,States,Telangana,18394,17791,20865
25,States,Tripura,1070,874,807
26,States,Uttar Pradesh,59853,49385,56083
27,States,Uttarakhand,2541,2846,3431
28,States,West Bengal,29859,36439,35884
Total State(S),Total State(S),Total State(S),387997,357363,409273
29,Union Territories,Andaman and Nicoba Islands,135,143,169
30,Union Territories,Chandigarh,515,301,343
31,Union Territories,Dadra and Nagar Haveli and Daman and Diu,82,61,99
32,Union Territories,Delhi,13395,10093,14277
33,Union Territories,Jammu and Kashmir,3069,3405,3937
34,Union Territories,Ladakh,NA,9,18
35,Union Territories,Lakshadweep,38,15,9
36,Union Territories,Puducherry,95,113,153
Total UT(S),Total UT(S),Total UT(S),17329,14140,19005
Total All India,Total All India,Total All India,405326,371503,428278
